Benchmark,HPWL_No_GiFt,HPWL_With_GiFt,HPWL_Improvement_%,Iterations_No_GiFt,Iterations_With_GiFt,Time_No_GiFt_s,Time_With_GiFt_s,GiFt_Opt_Time_s,Adj_Matrix_Time_s
FPGA08,6184554.0,5849505.0,5.4175127260591465,670,521,211.88,229.76,51.12,18.018
FPGA-example3,5903960.0,5928874.0,-0.4219879538479258,622,494,189.98,185.16,28.355,8.531
FPGA11,6688910.0,6750596.0,-0.922213036204703,664,518,225.7,243.57,55.798,16.744
FPGA-example4,5972307.0,6045564.0,-1.2266114250322364,662,519,226.25,242.84,55.13,16.52
FPGA09,7031911.0,7134090.0,-1.4530758423990293,656,513,223.74,246.31,57.784,17.348
FPGA01,191063.9,193944.4,-1.5076108045528225,552,453,150.84,134.55,7.012,1.822
FPGA-example1,8839.234,9030.008,-2.158263940065388,633,554,168.33,147.71,0.212,0.065
FPGA-example2,2155856.0,2238356.0,-3.826786204644466,656,524,206.14,212.7,35.096,10.395
FPGA07,5346012.0,5551650.0,-3.8465682456380565,639,497,210.92,221.28,46.05,12.643
FPGA12,3517985.0,3685050.0,-4.748883238558436,667,518,250.29,280.93,71.412,19.379
FPGA10,2915978.0,3105790.0,-6.509376956890621,656,505,239.7,261.14,61.237,14.649
FPGA02,432098.9,461414.9,-6.784557887094829,656,545,182.82,165.56,10.909,3.298
FPGA05,26538240.0,35773140.0,-34.79846440457242,762,661,226.27,232.91,29.181,8.776
FPGA04,3588304.0,11664960.0,-225.08282464361992,633,657,192.23,229.15,28.656,8.971
FPGA03,1845335.0,18660060.0,-911.2017601140172,641,669,194.05,232.65,28.742,9.091
FPGA06,2947268.0,54726210.0,-1756.8453903750865,645,640,213.18,261.52,45.805,12.887
