Benchmark,HPWL_No_GiFt,HPWL_With_GiFt,HPWL_Improvement_%,Iterations_No_GiFt,Iterations_With_GiFt,Time_No_GiFt_s,Time_With_GiFt_s,GiFt_Opt_Time_s,Adj_Matrix_Time_s
FPGA05,12128510.0,6839719.0,43.60627150408418,722,496,216.41,183.76,28.438,8.703
FPGA02,542838.6,430556.7,20.684214423955844,665,101,189.54,168.81,0,0
FPGA08,5970746.0,5846977.0,2.072923550926467,669,524,211.82,226.22,51.002,17.986
FPGA01,194254.6,193004.5,0.6435368840686428,552,457,154.83,132.32,6.601,1.76
FPGA-example3,5906412.0,5930843.0,-0.4136352154235092,632,495,195.37,186.51,28.394,8.567
FPGA09,7036455.0,7101416.0,-0.9232063588838414,659,514,223.4,245.9,57.758,17.638
FPGA11,6683937.0,6749863.0,-0.9863348502536753,659,516,223.43,249.47,62.722,17.797
FPGA-example4,5971959.0,6039687.0,-1.1341002173658594,662,518,229.44,246.38,55.658,16.861
FPGA-example2,2159322.0,2240702.0,-3.7687755693685334,659,524,208.8,211.12,35.083,10.39
FPGA07,5335073.0,5555463.0,-4.130965030844001,634,496,211.28,220.03,46.376,12.704
FPGA12,3501967.0,3669411.0,-4.781427123670783,665,519,249.06,280.6,71.804,19.128
FPGA-example1,8937.526,9372.854,-4.870788627635876,651,563,176.19,152.32,0.207,0.064
FPGA10,2869562.0,3086196.0,-7.5493751311175705,651,504,238.02,257.58,58.626,14.387
